,google_address,Predicted AirBNB Price,Zillow List Price,Bathrooms,Bedrooms,Zipcode,Neighborhood,Lat,Long,Cap Rate,Annual Cost,NOI,Annual Income,Occupancy Days,Occupancy Rate
986,1443 Southwest 19th Drive,150.702808180535,264000.0,2.5,4.0,97080,Gresham Butte,45.48395538,-122.4463196,0.1,12000.0,26400.0,38400.0,254.80613442848775,0.698098998434213
14153,2288 Southwest 186th Avenue,150.69057683534876,79237.0,2.5,4.0,97006,Cooper Mountain - Aloha North,45.50330734,-122.8684616,0.1,12000.0,7923.700000000001,19923.7,132.21596478305025,0.36223551995356235
14674,4681 Southwest Ace Terrace,150.6634004155072,422500.0,2.5,4.0,97007,Cooper Mountain - Aloha North,45.48604965,-122.8567352,0.1,12000.0,42250.0,54250.0,360.0741776064166,0.9865045961819633
5382,7690 Southeast Dolinda Street,150.37554074179778,371500.0,2.5,4.0,97267,North Clackamas,45.40184402,-122.5844498,0.1,12000.0,37150.0,49150.0,326.84836747748074,0.8954749793903581
11557,4442 Southeast Pennywood Drive,149.37286457985914,70000.0,2.5,4.0,97222,Lake Road,45.42980576,-122.617691,0.1,12000.0,7000.0,19000.0,127.19847111080901,0.34848896194742196
11915,191 Canemah Court,149.06969212214707,420000.0,2.0,4.0,97045,South End,45.34202194,-122.6120911,0.1,12000.0,42000.0,54000.0,362.2466728901045,0.9924566380550808
5272,1107 Northeast Knott Street,148.73414989221635,350000.0,2.5,4.0,97212,Irvington,45.54227448,-122.6541824,0.1,12000.0,35000.0,47000.0,316.00005805028394,0.865753583699408
896,3110 Southwest 15th Court,148.42201038971106,361000.0,2.0,4.0,97080,Southwest,45.48606873,-122.4635468,0.1,12000.0,36100.0,48100.0,324.0759229288434,0.8878792409009408
4899,1606 Northeast Buffalo Street,147.79566468998544,240000.0,2.0,4.0,97211,Woodlawn,45.57460022,-122.649025,0.1,12000.0,24000.0,36000.0,243.57953987022017,0.6673412051238908
11532,3855 Mohawk Way,147.028333976366,349900.0,2.0,4.0,97068,Robinwood,45.3795433,-122.6365891,0.1,12000.0,34990.0,46990.0,319.59826197550046,0.8756116766452068
700,1913 Northwest Division Street,145.93658719620942,399000.0,2.0,4.0,97030,Northwest,45.50473404,-122.4521103,0.1,12000.0,39900.0,51900.0,355.6339160530133,0.974339496035653
378,510 Northwest Bella Vista Drive,145.93658719620942,379000.0,2.0,4.0,97030,Northwest,45.50094986,-122.4503632,0.1,12000.0,37900.0,49900.0,341.9293335461535,0.9367926946469959
1193,2022 Northwest 16th Street,145.93658719620942,386000.0,2.0,4.0,97030,Northwest,45.50843048,-122.4527359,0.1,12000.0,38600.0,50600.0,346.7259374235544,0.9499340751330257
1241,820 Northeast Division Street,145.93658719620942,315000.0,2.0,4.0,97030,Northwest,45.50423431,-122.4405136,0.1,12000.0,31500.0,43500.0,298.0746695242019,0.8166429302032929
69,2280 Northeast 23rd Street,145.63309423418988,345000.0,2.0,4.0,97030,Northeast,45.51283264,-122.4095917,0.1,12000.0,34500.0,46500.0,319.29555740417226,0.8747823490525267
66,1880 Northeast View Court,145.63309423418988,396000.0,2.0,4.0,97030,Northeast,45.51237869,-122.4136887,0.1,12000.0,39600.0,51600.0,354.3150701517266,0.9707262195937716
4828,1325 Southeast 31st Avenue,145.5896846963238,17413.0,2.0,4.0,97214,Sunnyside,45.51315689,-122.6340714,0.1,12000.0,1741.3000000000002,13741.3,94.3837472322445,0.2585856088554644
4719,16026 Southeast Johnson Road,145.43375460777457,6800.0,2.0,4.0,97015,North Clackamas,45.40687561,-122.5754471,0.1,12000.0,680.0,12680.0,87.18746232053995,0.23886975978230124
5298,9021 Northeast Emerson Street,145.32546185660107,285000.0,2.0,4.0,97220,Sumner,45.56204605,-122.5695953,0.1,12000.0,28500.0,40500.0,278.6848187688067,0.7635200514213881
1622,7297 Southeast Lindsay Lane,145.2301379230591,210000.0,2.0,4.0,97123,Reedville,45.49944305,-122.9075317,0.1,12000.0,21000.0,33000.0,227.22556400437313,0.622535791792803
1699,1582 Southeast 73rd Avenue,145.2301379230591,410000.0,2.0,4.0,97123,Reedville,45.50793839,-122.9065399,0.1,12000.0,41000.0,53000.0,364.93802703732655,0.9998302110611686
11733,16845 Southeast Gurnee Avenue,145.10763756967552,349900.0,2.0,4.0,97027,North Clackamas,45.40090179,-122.5849533,0.1,12000.0,34990.0,46990.0,323.8285784746311,0.8872015848620031
255,21045 Southeast Yamhill Street,144.92494398947758,345000.0,2.0,4.0,97030,North Central,45.51643372,-122.4465103,0.1,12000.0,34500.0,46500.0,320.8557389773853,0.879056819116124
58,2285 Northeast Juniper Avenue,144.92494398947758,395000.0,2.0,4.0,97030,North Central,45.51330185,-122.4233322,0.1,12000.0,39500.0,51500.0,355.35635607172776,0.973579057730761
225,21605 Southeast Alder Street,144.92494398947758,381000.0,2.0,4.0,97030,North Central,45.51779938,-122.4402924,0.1,12000.0,38100.0,50100.0,345.69618328531186,0.9471128309186626
62,21001 Southeast Yamhill Street,144.92494398947758,387550.0,2.0,4.0,97030,North Central,45.51643753,-122.4473343,0.1,12000.0,38755.0,50755.0,350.2157641246707,0.9594952441771801
67,21934 Southeast Morrison Court,144.92494398947758,283000.0,2.0,4.0,97030,North Central,45.51645279,-122.4355927,0.1,12000.0,28300.0,40300.0,278.07497378040057,0.7618492432339742
171,721 Southeast 221st Avenue,144.92494398947758,385000.0,2.0,4.0,97030,North Central,45.51655197,-122.4353409,0.1,12000.0,38500.0,50500.0,348.4562326528593,0.9546746100078336
149,416 Southeast 240th Court,144.92494398947758,372500.0,2.0,4.0,97030,North Central,45.51956177,-122.4160233,0.1,12000.0,37250.0,49250.0,339.83107837927366,0.9310440503541744
134,1110 Southeast 208th Avenue,144.92494398947758,385000.0,2.0,4.0,97030,North Central,45.51529312,-122.4491882,0.1,12000.0,38500.0,50500.0,348.4562326528593,0.9546746100078336
78,1408 Northeast 19th Street,144.92494398947758,391000.0,2.0,4.0,97030,North Central,45.51039124,-122.4178238,0.1,12000.0,39100.0,51100.0,352.5963067041804,0.9660172786415901
108,1038 Southeast 207th Avenue,144.92494398947758,396000.0,2.0,4.0,97030,North Central,45.51491165,-122.4512329,0.1,12000.0,39600.0,51600.0,356.04636841361463,0.9754695025030538
5228,10902 Southeast Stephens Street,144.62485297058197,345000.0,2.0,4.0,97216,Southeast Portland,45.50985336,-122.5512085,0.1,12000.0,34500.0,46500.0,321.52150232061797,0.8808808282756657
11509,9979 Southeast Old Town Court,144.59146363579882,369900.0,4.0,3.0,97086,West Mount Scott,45.45070648,-122.570694,0.1,12000.0,36990.0,48990.0,338.81668231395344,0.9282648830519272
5154,6225 Southeast 128th Avenue,144.0813245737502,354000.0,2.0,4.0,97236,Southeast Portland,45.47745132,-122.5325775,0.1,12000.0,35400.0,47400.0,328.98087340762606,0.9013174613907563
762,18177 Southeast Bush Terrace,143.8330143477445,360000.0,2.5,4.0,97236,Centennial,45.49528122,-122.4758606,0.1,12000.0,36000.0,48000.0,333.7203229569436,0.9143022546765579
10969,1124 Taylor Street,143.40449016444873,375000.0,2.0,4.0,97045,McLoughlin,45.35536194,-122.5927429,0.1,12000.0,37500.0,49500.0,345.1774762647669,0.9456917157938819
5331,5116 Northeast Oregon Street,143.3912460613553,15000.0,2.0,4.0,97213,Rose City Park,45.5288353,-122.6106873,0.1,12000.0,1500.0,13500.0,94.14800673552638,0.2579397444808942
997,2148 Southeast 10th Street,143.06030139403228,351170.0,2.0,4.0,97080,Mount Hood,45.48961639,-122.4104996,0.1,12000.0,35117.0,47117.0,329.350627259097,0.9023304856413616
