listing_url,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews_l30d,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,house_number,street_name,zipcode,neighborhood,lat_lng,address
https://www.airbnb.com/rooms/12899,within an hour,100.0,100.0,1,0,Concordia,45.56488,-122.63418,Entire home/apt,3,1.0,2.0,2.0,89.0,3,730,1,2021-11-30,4.93,4.94,4.98,4.99,4.99,4.93,4.94,4.08,5827,Northeast 31st Avenue,97211,Concordia,"45.56488, -122.63418",5827 Northeast 31st Avenue
https://www.airbnb.com/rooms/37676,within a day,100.0,55.0,1,1,Pearl,45.52564,-122.68273,Entire home/apt,3,1.0,1.0,1.0,14.0,30,730,1,2021-12-01,4.88,4.86,4.86,4.83,4.77,4.94,4.66,0.91,1110,Northwest Flanders Street,97209,Northwest Portland,"45.52564, -122.68273",1110 Northwest Flanders Street
https://www.airbnb.com/rooms/41601,within an hour,100.0,100.0,1,1,Roseway,45.54804,-122.58541,Entire home/apt,2,1.0,1.0,1.0,129.0,3,29,0,2021-10-13,4.84,4.9,4.9,4.95,4.92,4.67,4.83,1.76,7510,Northeast Fremont Street,97213,Roseway,"45.54804, -122.58541",7510 Northeast Fremont Street
https://www.airbnb.com/rooms/61893,within an hour,100.0,73.0,1,1,Goose Hollow,45.52258,-122.69955,Entire home/apt,2,1.0,1.0,1.0,104.0,30,300,1,2021-12-01,5.0,5.0,5.0,4.93,5.0,5.0,4.93,0.24,2334,Southwest Cactus Drive,97205,Goose Hollow,"45.52258, -122.69955",2334 Southwest Cactus Drive
https://www.airbnb.com/rooms/80357,within an hour,100.0,52.0,1,1,Sullivan's Gulch,45.53364,-122.63895,Entire home/apt,2,1.0,1.0,1.0,9.0,90,365,0,2021-09-20,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.02,2608,Northeast Halsey Street,97232,Sullivan's Gulch,"45.53364, -122.63895",2608 Northeast Halsey Street
https://www.airbnb.com/rooms/99355,within an hour,100.0,100.0,1,1,Irvington,45.53836,-122.65159,Entire home/apt,6,1.5,3.0,3.0,185.0,1,730,1,2021-11-28,4.92,4.89,4.94,4.97,4.96,4.96,4.82,1.8,2217,Northeast 14th Avenue,97212,Irvington,"45.53836, -122.65159",2217 Northeast 14th Avenue
https://www.airbnb.com/rooms/117969,within an hour,100.0,100.0,1,1,Richmond,45.51022,-122.63088,Entire home/apt,2,1.0,1.0,1.0,9.0,2,1125,0,2021-11-14,4.87,4.97,4.9,4.99,4.98,4.98,4.88,3.23,1735,Southeast 33rd Avenue,97214,Richmond,"45.51022, -122.63088",1735 Southeast 33rd Avenue
https://www.airbnb.com/rooms/131088,a few days or more,0.0,50.0,1,1,Cully,45.56089,-122.61845,Entire home/apt,2,1.0,1.0,1.0,85.0,2,730,0,2020-07-12,4.88,4.94,4.94,4.94,4.94,4.85,4.94,0.67,4344,Northeast Emerson Street,97218,Cully,"45.56089, -122.61845",4344 Northeast Emerson Street
https://www.airbnb.com/rooms/143483,within an hour,100.0,100.0,1,1,Irvington,45.54005,-122.64988,Entire home/apt,4,1.0,1.0,1.0,125.0,1,730,3,2021-11-29,4.82,4.88,4.9,4.91,4.83,4.95,4.83,1.16,2427,Northeast 16th Avenue,97212,Irvington,"45.54005, -122.64988",2427 Northeast 16th Avenue
https://www.airbnb.com/rooms/182450,within an hour,100.0,63.0,0,0,Richmond,45.50529,-122.63201,Entire home/apt,4,1.5,2.0,2.0,77.0,5,29,0,2021-07-27,4.88,4.83,4.54,4.96,5.0,5.0,4.83,0.23,3230,Southeast Caruthers Street,97214,Richmond,"45.50529, -122.63201",3230 Southeast Caruthers Street
